,intitule,entreprise,Type Contrat,Niveau Experience,texte
57,Data Analyst H/F,FAB-Group,Full-time,Entry level,"[Entreprise , ""Fondé en 2007, présent à Paris, Nantes, Lyon, Bordeaux et à Luxembourg, le cabinet FAB Group (www.fab-group.fr) est articulé autour de 6 marques : Carrières Bancaires (Banque de détail et Services financiers spécialisés), Carrières Financières (Finance d'entreprise et Comptabilité), Carrières Assurances (Assurance), FAB Real Estate (Immobilier), FAB IT & Digital et FAB Careers (Banque Privée, Banque d'Investissement et de Financement, Gestion d'Actifs, Finance de Marché, Private Equity, …)."",  , ""FAB IT & Digital est la marque dédiée au recrutement d'experts dans le domaine de l'IT et du Digital pour le secteur assurantiel / mutualiste."",  ,  , ""FAB IT & Digital recherche, pour le compte d'un acteur du secteur assurantiel, un Data Analyst H/F à Lyon (69)."",  ,  , Mission , 'L’équipe Data & Analytics a pour mission de contribuer au développement de l’activité par l’analyse de l’ensemble des données du client, des produits et des contrats à des fins d’optimisation et d’efficacité (opérationnel, commercial, business …).',  ,  ,  Le Data Analyst Aura Pour Missions De  , <ul><li> Donner du sens et de la valeur aux données de l'entreprise,</li><li> Exploiter l'ensemble des données de l’entreprise, les analyser pour en extraire des connaissances utiles à l'optimisation des offres et services de l'entreprise,</li><li> Créer, faire évoluer et livrer les tableaux de bords et reportings à des fins internes et externes selon la périodicité nécessaire,</li><li> Extraction de données pour les campagnes marketing, les besoins courtiers ou autres demandes internes,</li><li> Simplifier les actes des services de gestion, médical et commercial en automatisant des procédures manuelles redondantes</li><li> Être force de proposition. </li></ul>, Profil , ""Issu(e) d’une formation en Informatique et Statistiques, mathématiques et/ou analyse de l'information, vous maîtrisez les outils de programmation VBA, SAS, ainsi que le Pack Office (R est un plus)."",  , ""Doté(e) d'un esprit scientifique rigoureux, vous êtes curieux(se), force de proposition."",  , 'Vous avez l’esprit d’analyse et de synthèse. Vous êtes autonome, tout en ayant l’esprit d’équipe.']"
58,Payroll Systems Analyst,CHOC Children's,Full-time,Entry level,"[ Work Location  , 'Orange, California',  ,   Work Shift  , 'Day 08hrs (United States of America)',  ,  Why CHOC?   , 'At CHOC Childrens, we strive to be the leading destination of childrens health by providing exceptional and innovative care. We are responsible for the overall health of our communitys pediatric population in our hospitals, clinics, and practices. And because of our breadth of care, your career at CHOC Childrens can be as diverse and fulfilling as you determine. CHOC Childrens compensation structure, benefits offerings, and career development programs are geared to helping you achieve your professional and personal goals. Apply now to see where your career at CHOC Childrens can take you.',  ,  ,  Job Summary   , 'The Payroll Systems Analyst is responsible for maintaining and maximizing the effective use of Payroll systems and supports the Payroll Team. The Systems Analyst will be responsible for leading ongoing system requirements, regression testing, business process changes and projects related to Workday and Kronos. This role will be responsible for data analysis, driving process improvements, analyzing system configurations and evaluates system functionality, making recommendations for enhanced solutions. Assess, develop and document efficient Payroll processes ensuring greater ROI on Payroll systems. Produce standard and ad hoc reports for Payroll and organization. Monitors and ensures data integrity using audit tools and alerts. The ideal candidate is a self-starter, great communicator, and enjoys collaborating with people in a dynamic fast-pace environment.',  ,  ,  Experience Description  , <ul><li> Experience Minimum Required: Minimum of three ( 3) years of working experience supporting Workday and/or Kronos Payroll systems, and least two (2) years of experience in Information Technology or Data Analytics (may include college coursework).</li><li> Experience Desired Preferred: Over four (4) years of analyst experience in the areas of Customer Service, Payroll, Human Resources, Benefits Administration, Application Support or other relevant work experiences. One (1)+ years of experience with Workday configuration or system administration. </li></ul>,  Education Description  , <ul><li> Education Minimum Required: Bachelors Degree - Experience may be considered in lieu of Bachelor's Degree.</li><li> Education Desired Preferred: Bachelors Degree in Information Technology, Data Analytics, Business Analysis, Accounting, Statistics, Business Administration, Finance or Human Resources. </li></ul>,  Specialized Skills Description  , <ul><li> Specialized Skills Minimum Required: Working knowledge of payroll processing, tax principles, wage and hour law, and human resources systems required. Familiar with Workday and/or Kronos Payroll System. Ability to understand system functionality and communicate requirements train others in payroll as well as other areas of the organization on payroll systems usage. Excellent customer service skills, organization, time-management, written and verbal communication skills. Work well within tight deadlines, can lead a process, and escalate issues early to prevent missed deadlines. Ability to set goals and judge results in accordance with the highest standards; care with sensitivity and respect; advance care through development of new ideas and technology; promote teamwork to achieve CHOC's mission; and understand and exceed customer expectations. </li></ul>,  Licensure Description  , <ul><li> Licensure Minimum Required: N/A </li></ul>, <em>By submitting your interest in this job, you agree to receive text notifications with additional steps to complete your job application. You will receive up to 6 messages from the number ""63879"". Message &amp; data rates may apply. Please refer to our privacy policy for more information.</em>]"
59,Data analyst - ( R ou Python) Lyon (IT),Carriere-info.fr,Full-time,Entry level,"['Démarrage MARS',  , 'Profil : Data analyst',  , 'Profil BAC + 5 de type ingénieur ou master, avec une spécialité en data science',  , 'Participation à des ateliers avec des experts métiers pour le cadrage et le suivi des études',  , 'Réalisation d’études statistiques répondant à des problématiques métier, en développant des scripts R ou Python',  , 'Présentation de résultats sous la forme de rapports d’étude ou de tableaux de bord',  , 'Développement d’outils de visualisation de données pour faciliter les analyses (à destination de lui-même, des PO/développeurs de l’équipe, voire des utilisateurs métier destinataires du POC)',  , 'Documentation des études et développements',  , 'Participation aux cérémonies d’équipe',  ,  ,  Compétences Requises   , 'Maîtrise d’un outil de traitement de données (R ou python)',  , 'Capacité d’extraire des données de n’importe quelle source en utilisant les outils adaptés :',  , <ul><li> SQL pour des bases relationnelles</li><li> Des packages R ou Python pour des fichiers au format JSON ou XML par ex, etc. </li></ul>, 'Maîtrise sur les méthodes de traitement de données (data management):',  , <ul><li> Consolidation d’informations issues de sources hétérogènes</li><li> Utilisation de l’ensemble de package R tidyverse, notamment de dplyr (ou équivalent en </li></ul>, 'python)',  , <ul><li> Méthodes de mise en qualité des données </li></ul>, 'Maîtrise des outils de visualisation de données disponibles dans l’environnement R :',  , 'ggplot2, shiny, leaflet, etc. (ou équivalent en python)']"
60,Analyste concepteur flux de données (H/F) / Freelance,Freelance-info.fr,Full-time,Entry level,"['Espace-Freelance, réseau de consultants indépendants, recherche pour l’un de ses clients directs : un Analyste concepteur flux de données (H/F)',  ,  , 'Mission à pourvoir en régie en métropole Lilloise',  ,  , 'Votre mission en mode agile : ', <li>Participer aux ateliers de conception<li>Identifier et déterminer les sources de données<li>Rédiger la documentation de spécification<li>Réaliser et/ou coordonner les tâches de spécifications détaillées<li>Recette<li>Préparer les mises en production  Environnement technique : Talend<li>SQL,XML,API</li></li></li></li></li></li></li>]"
61,IT Business Analyst / PPO / Freelance,Freelance-info.fr,Full-time,Entry level,"['Sneakers & Jackets recherche, pour l’un de ses clients, acteur majeur de le secteur bancaire, un Business analyst / Proxy Product Owner.',  ,  ,  Mission  , <ul><li>Cadrage IT<li>Rédaction des User Stories &amp; spécifications technico-fonctionnelles associées<li>Suivi du delivery<li>Validation des critères d’acceptance </li> Profil Recherché  <ul><li>Expérience approuvée en agilité<li>Sensibilité technico fonctionnel<li>A l’aise avec l’univers bancaire (Crédit, paiement)<li>Une expérience dans les néo-banque est un plus </li> Technologies  <ul><li>Java<li>Android / iOS<li>Symfony<li>Salesforce </li></li></li></li></ul></li></li></li></ul></li></li></li></ul>]"
62,Stage Data Analyst H/F - Paris - Janvier 2021,Jobmania,Full-time,Entry level,"['– Vous serez en charge du traitement des données sur notre data Warehouse / notre CRM (ZOHO CRM) et notamment de la surveillance et la propreté des bases ainsi que du déploiement de processus industriels de traitement de données.– En support de notre équipe sourcing, vous utiliserez MySQL quotidiennement afin d’extraire des fournisseurs pertinents en fonction des demandes acheteurs grâce à des recherches avancées en BDD ;– Vous exportez, importez et analysez des données pour mieux piloter l’activité et alimenter les commerciaux avec de nouvelles opportunités.De plus, vous travaillerez sur deux algorithmes de matching :– Un à destination des acheteurs pour leur proposer des fournisseurs pertinents (analyse des catégories, des bases de fournisseurs existants, des sélections fournisseurs, des notes attribuées, etc.)– L’autre pour les fournisseurs afin de les guider dans leur export : l’idée est de leur proposer des clients potentiels en fonction de leurs caractéristiques !– Vous êtes étudiant.e en bac+4/5 en Cycle Ingénieur ou équivalent, et avez une première expérience en Data.– Vous avez une maîtrise avancée d’Excel (fonctions de tri, rechercheV, fuzzy matching) ainsi que de SQL.– Vous êtes reconnu.e pour votre rigueur, votre organisation et votre appétence pour la recherche et l’analyse.– Vous parlez couramment Anglais.INFOS PRATIQUES SUR L\'OFFRE- Lieu : Paris 8- Démarrage : Janvier/Février- Durée : 6 mois- Gratification : 1 000€ brut mensuels + Participation aux frais de transports en commun à hauteur de 50%Avec Jobmania, trouve ton stage, et gagne 150€ en parrainant tes amis !Recommande une offre de stage, on te verse une prime de 150 € si ton.ta filleul.e est recruté.e. Retrouve toutes les infos sur le site de Jobmania, rubrique ""Parrainage"".Our job : connecting buyers with matching suppliers.Nous mettons en relation 7 000 fournisseurs et 4 500 acheteurs (Amazon, Walmart, Carrefour, Casino, Tesco, Metro…) à travers le monde. Nous connectons les acteurs majeurs de l\'industrie FMCG quelque soit le secteur : food, drinks, wine&spirits, grocery, beauty and personal care, home care...Notre objectif est de faire se rencontrer les bons business partners, au bon moment. Comment ? En alliant les technologies ultra-innovantes, basées sur la data, et l\'expertise humaine.Nous sommes aujourd\'hui une équipe de 50 personnes, et travaillons pour le monde entier. Notre team est composée de nationalités très différentes : si vous voulez évoluer dans un environnement multi-culturel, où l\'atmosphère est très proche d\'une start-up, come join us !']"
63,Stage Data Analyst H/F - Paris - Janvier 2021,Jobmania,Full-time,Entry level,"['– Vous serez en charge du traitement des données sur notre data Warehouse / notre CRM (ZOHO CRM) et notamment de la surveillance et la propreté des bases ainsi que du déploiement de processus industriels de traitement de données.– En support de notre équipe sourcing, vous utiliserez MySQL quotidiennement afin d’extraire des fournisseurs pertinents en fonction des demandes acheteurs grâce à des recherches avancées en BDD ;– Vous exportez, importez et analysez des données pour mieux piloter l’activité et alimenter les commerciaux avec de nouvelles opportunités.De plus, vous travaillerez sur deux algorithmes de matching :– Un à destination des acheteurs pour leur proposer des fournisseurs pertinents (analyse des catégories, des bases de fournisseurs existants, des sélections fournisseurs, des notes attribuées, etc.)– L’autre pour les fournisseurs afin de les guider dans leur export : l’idée est de leur proposer des clients potentiels en fonction de leurs caractéristiques !– Vous êtes étudiant.e en bac+4/5 en Cycle Ingénieur ou équivalent, et avez une première expérience en Data.– Vous avez une maîtrise avancée d’Excel (fonctions de tri, rechercheV, fuzzy matching) ainsi que de SQL.– Vous êtes reconnu.e pour votre rigueur, votre organisation et votre appétence pour la recherche et l’analyse.– Vous parlez couramment Anglais.INFOS PRATIQUES SUR L\'OFFRE- Lieu : Paris 8- Démarrage : Janvier/Février- Durée : 6 mois- Gratification : 1 000€ brut mensuels + Participation aux frais de transports en commun à hauteur de 50%Avec Jobmania, trouve ton stage, et gagne 150€ en parrainant tes amis !Recommande une offre de stage, on te verse une prime de 150 € si ton.ta filleul.e est recruté.e. Retrouve toutes les infos sur le site de Jobmania, rubrique ""Parrainage"".Our job : connecting buyers with matching suppliers.Nous mettons en relation 7 000 fournisseurs et 4 500 acheteurs (Amazon, Walmart, Carrefour, Casino, Tesco, Metro…) à travers le monde. Nous connectons les acteurs majeurs de l\'industrie FMCG quelque soit le secteur : food, drinks, wine&spirits, grocery, beauty and personal care, home care...Notre objectif est de faire se rencontrer les bons business partners, au bon moment. Comment ? En alliant les technologies ultra-innovantes, basées sur la data, et l\'expertise humaine.Nous sommes aujourd\'hui une équipe de 50 personnes, et travaillons pour le monde entier. Notre team est composée de nationalités très différentes : si vous voulez évoluer dans un environnement multi-culturel, où l\'atmosphère est très proche d\'une start-up, come join us !']"
64,Stage Data Analyst H/F - Paris - Janvier 2021,Jobmania,Full-time,Entry level,"['– Vous serez en charge du traitement des données sur notre data Warehouse / notre CRM (ZOHO CRM) et notamment de la surveillance et la propreté des bases ainsi que du déploiement de processus industriels de traitement de données.– En support de notre équipe sourcing, vous utiliserez MySQL quotidiennement afin d’extraire des fournisseurs pertinents en fonction des demandes acheteurs grâce à des recherches avancées en BDD ;– Vous exportez, importez et analysez des données pour mieux piloter l’activité et alimenter les commerciaux avec de nouvelles opportunités.De plus, vous travaillerez sur deux algorithmes de matching :– Un à destination des acheteurs pour leur proposer des fournisseurs pertinents (analyse des catégories, des bases de fournisseurs existants, des sélections fournisseurs, des notes attribuées, etc.)– L’autre pour les fournisseurs afin de les guider dans leur export : l’idée est de leur proposer des clients potentiels en fonction de leurs caractéristiques !– Vous êtes étudiant.e en bac+4/5 en Cycle Ingénieur ou équivalent, et avez une première expérience en Data.– Vous avez une maîtrise avancée d’Excel (fonctions de tri, rechercheV, fuzzy matching) ainsi que de SQL.– Vous êtes reconnu.e pour votre rigueur, votre organisation et votre appétence pour la recherche et l’analyse.– Vous parlez couramment Anglais.INFOS PRATIQUES SUR L\'OFFRE- Lieu : Paris 8- Démarrage : Janvier/Février- Durée : 6 mois- Gratification : 1 000€ brut mensuels + Participation aux frais de transports en commun à hauteur de 50%Avec Jobmania, trouve ton stage, et gagne 150€ en parrainant tes amis !Recommande une offre de stage, on te verse une prime de 150 € si ton.ta filleul.e est recruté.e. Retrouve toutes les infos sur le site de Jobmania, rubrique ""Parrainage"".Our job : connecting buyers with matching suppliers.Nous mettons en relation 7 000 fournisseurs et 4 500 acheteurs (Amazon, Walmart, Carrefour, Casino, Tesco, Metro…) à travers le monde. Nous connectons les acteurs majeurs de l\'industrie FMCG quelque soit le secteur : food, drinks, wine&spirits, grocery, beauty and personal care, home care...Notre objectif est de faire se rencontrer les bons business partners, au bon moment. Comment ? En alliant les technologies ultra-innovantes, basées sur la data, et l\'expertise humaine.Nous sommes aujourd\'hui une équipe de 50 personnes, et travaillons pour le monde entier. Notre team est composée de nationalités très différentes : si vous voulez évoluer dans un environnement multi-culturel, où l\'atmosphère est très proche d\'une start-up, come join us !']"
65,Stage Data Analyst H/F - Paris - Janvier 2021,Jobmania,Full-time,Entry level,"['– Vous serez en charge du traitement des données sur notre data Warehouse / notre CRM (ZOHO CRM) et notamment de la surveillance et la propreté des bases ainsi que du déploiement de processus industriels de traitement de données.– En support de notre équipe sourcing, vous utiliserez MySQL quotidiennement afin d’extraire des fournisseurs pertinents en fonction des demandes acheteurs grâce à des recherches avancées en BDD ;– Vous exportez, importez et analysez des données pour mieux piloter l’activité et alimenter les commerciaux avec de nouvelles opportunités.De plus, vous travaillerez sur deux algorithmes de matching :– Un à destination des acheteurs pour leur proposer des fournisseurs pertinents (analyse des catégories, des bases de fournisseurs existants, des sélections fournisseurs, des notes attribuées, etc.)– L’autre pour les fournisseurs afin de les guider dans leur export : l’idée est de leur proposer des clients potentiels en fonction de leurs caractéristiques !– Vous êtes étudiant.e en bac+4/5 en Cycle Ingénieur ou équivalent, et avez une première expérience en Data.– Vous avez une maîtrise avancée d’Excel (fonctions de tri, rechercheV, fuzzy matching) ainsi que de SQL.– Vous êtes reconnu.e pour votre rigueur, votre organisation et votre appétence pour la recherche et l’analyse.– Vous parlez couramment Anglais.INFOS PRATIQUES SUR L\'OFFRE- Lieu : Paris 8- Démarrage : Janvier/Février- Durée : 6 mois- Gratification : 1 000€ brut mensuels + Participation aux frais de transports en commun à hauteur de 50%Avec Jobmania, trouve ton stage, et gagne 150€ en parrainant tes amis !Recommande une offre de stage, on te verse une prime de 150 € si ton.ta filleul.e est recruté.e. Retrouve toutes les infos sur le site de Jobmania, rubrique ""Parrainage"".Our job : connecting buyers with matching suppliers.Nous mettons en relation 7 000 fournisseurs et 4 500 acheteurs (Amazon, Walmart, Carrefour, Casino, Tesco, Metro…) à travers le monde. Nous connectons les acteurs majeurs de l\'industrie FMCG quelque soit le secteur : food, drinks, wine&spirits, grocery, beauty and personal care, home care...Notre objectif est de faire se rencontrer les bons business partners, au bon moment. Comment ? En alliant les technologies ultra-innovantes, basées sur la data, et l\'expertise humaine.Nous sommes aujourd\'hui une équipe de 50 personnes, et travaillons pour le monde entier. Notre team est composée de nationalités très différentes : si vous voulez évoluer dans un environnement multi-culturel, où l\'atmosphère est très proche d\'une start-up, come join us !']"
66,Stage Data Analyst H/F - Paris - Janvier 2021,Jobmania,Full-time,Entry level,"['– Vous serez en charge du traitement des données sur notre data Warehouse / notre CRM (ZOHO CRM) et notamment de la surveillance et la propreté des bases ainsi que du déploiement de processus industriels de traitement de données.– En support de notre équipe sourcing, vous utiliserez MySQL quotidiennement afin d’extraire des fournisseurs pertinents en fonction des demandes acheteurs grâce à des recherches avancées en BDD ;– Vous exportez, importez et analysez des données pour mieux piloter l’activité et alimenter les commerciaux avec de nouvelles opportunités.De plus, vous travaillerez sur deux algorithmes de matching :– Un à destination des acheteurs pour leur proposer des fournisseurs pertinents (analyse des catégories, des bases de fournisseurs existants, des sélections fournisseurs, des notes attribuées, etc.)– L’autre pour les fournisseurs afin de les guider dans leur export : l’idée est de leur proposer des clients potentiels en fonction de leurs caractéristiques !– Vous êtes étudiant.e en bac+4/5 en Cycle Ingénieur ou équivalent, et avez une première expérience en Data.– Vous avez une maîtrise avancée d’Excel (fonctions de tri, rechercheV, fuzzy matching) ainsi que de SQL.– Vous êtes reconnu.e pour votre rigueur, votre organisation et votre appétence pour la recherche et l’analyse.– Vous parlez couramment Anglais.INFOS PRATIQUES SUR L\'OFFRE- Lieu : Paris 8- Démarrage : Janvier/Février- Durée : 6 mois- Gratification : 1 000€ brut mensuels + Participation aux frais de transports en commun à hauteur de 50%Avec Jobmania, trouve ton stage, et gagne 150€ en parrainant tes amis !Recommande une offre de stage, on te verse une prime de 150 € si ton.ta filleul.e est recruté.e. Retrouve toutes les infos sur le site de Jobmania, rubrique ""Parrainage"".Our job : connecting buyers with matching suppliers.Nous mettons en relation 7 000 fournisseurs et 4 500 acheteurs (Amazon, Walmart, Carrefour, Casino, Tesco, Metro…) à travers le monde. Nous connectons les acteurs majeurs de l\'industrie FMCG quelque soit le secteur : food, drinks, wine&spirits, grocery, beauty and personal care, home care...Notre objectif est de faire se rencontrer les bons business partners, au bon moment. Comment ? En alliant les technologies ultra-innovantes, basées sur la data, et l\'expertise humaine.Nous sommes aujourd\'hui une équipe de 50 personnes, et travaillons pour le monde entier. Notre team est composée de nationalités très différentes : si vous voulez évoluer dans un environnement multi-culturel, où l\'atmosphère est très proche d\'une start-up, come join us !']"
67,Ingénieur.e développement Web pour applications Métier - stage - H/F,aeroemploiformation.com,Full-time,Entry level,"[À propos de l’entreprise  , Notre partenaire : le site AEROEMPLOIFORMATION.COM , ""Le site AEROEMPLOIFORMATION est spécialisé dans les métiers de l'aéronautique, l'enseignement, la formation et les écoles de l'industrie aérospatiale,"",  ,  , ""Les annonces du site sont relayées sur www.lindustrie-recrute.fr afin de promouvoir d'une même voix les nombreux emplois à pourvoir dans le secteur de l'aéronautique et du spatial."",  ,  , ""Les candidats qui postulent sur l'une des offres publiées dans ce cadre sont automatiquement conduits vers le site de notre partenaire"",  , 'Référence : AA0495ZS',  ,  ,  Ce Que Nous Pouvons Accomplir Ensemble   , ""Vous serez rattaché.e à notre Industrial Data Analyst du service Transformation Numérique du Centre de Compétences Electronique et vous participerez à la transformation du Centre de Compétences en réalisant des applications Web afin d'accompagner le Centre de Compétences dans sa Transformation Numérique."",  ,  , 'En nous rejoignant, vous vous verrez confier les missions suivantes :',  , 'Comprendre les problématiques de nos Ingénieurs,',  , 'Prendre connaissance des outils existants,',  , 'Améliorer, challenger la solution,',  , 'Proposer des applications ergonomiques aux utilisateurs.',  ,  , ""Le cadre applicatif du stage porte sur le développement d'applications Métiers pour faciliter la prise de décision, le pilotage des activités."",  ,  , ""Innovation, passion, ambition : rejoignez Thales et créez le monde de demain, dès aujourd'hui."",  ,  , ""Diplôme(s) requis : Bac+5,Diplôme de grande école d'ingénieu Voir la fiche métier :""]"
68,Stage Data Analyst H/F - Paris - Janvier 2021,Jobmania,Full-time,Entry level,"['– Vous serez en charge du traitement des données sur notre data Warehouse / notre CRM (ZOHO CRM) et notamment de la surveillance et la propreté des bases ainsi que du déploiement de processus industriels de traitement de données.– En support de notre équipe sourcing, vous utiliserez MySQL quotidiennement afin d’extraire des fournisseurs pertinents en fonction des demandes acheteurs grâce à des recherches avancées en BDD ;– Vous exportez, importez et analysez des données pour mieux piloter l’activité et alimenter les commerciaux avec de nouvelles opportunités.De plus, vous travaillerez sur deux algorithmes de matching :– Un à destination des acheteurs pour leur proposer des fournisseurs pertinents (analyse des catégories, des bases de fournisseurs existants, des sélections fournisseurs, des notes attribuées, etc.)– L’autre pour les fournisseurs afin de les guider dans leur export : l’idée est de leur proposer des clients potentiels en fonction de leurs caractéristiques !– Vous êtes étudiant.e en bac+4/5 en Cycle Ingénieur ou équivalent, et avez une première expérience en Data.– Vous avez une maîtrise avancée d’Excel (fonctions de tri, rechercheV, fuzzy matching) ainsi que de SQL.– Vous êtes reconnu.e pour votre rigueur, votre organisation et votre appétence pour la recherche et l’analyse.– Vous parlez couramment Anglais.INFOS PRATIQUES SUR L\'OFFRE- Lieu : Paris 8- Démarrage : Janvier/Février- Durée : 6 mois- Gratification : 1 000€ brut mensuels + Participation aux frais de transports en commun à hauteur de 50%Avec Jobmania, trouve ton stage, et gagne 150€ en parrainant tes amis !Recommande une offre de stage, on te verse une prime de 150 € si ton.ta filleul.e est recruté.e. Retrouve toutes les infos sur le site de Jobmania, rubrique ""Parrainage"".Our job : connecting buyers with matching suppliers.Nous mettons en relation 7 000 fournisseurs et 4 500 acheteurs (Amazon, Walmart, Carrefour, Casino, Tesco, Metro…) à travers le monde. Nous connectons les acteurs majeurs de l\'industrie FMCG quelque soit le secteur : food, drinks, wine&spirits, grocery, beauty and personal care, home care...Notre objectif est de faire se rencontrer les bons business partners, au bon moment. Comment ? En alliant les technologies ultra-innovantes, basées sur la data, et l\'expertise humaine.Nous sommes aujourd\'hui une équipe de 50 personnes, et travaillons pour le monde entier. Notre team est composée de nationalités très différentes : si vous voulez évoluer dans un environnement multi-culturel, où l\'atmosphère est très proche d\'une start-up, come join us !']"
69,Stage Data Analyst H/F - Paris - Janvier 2021,Jobmania,Full-time,Entry level,"['– Vous serez en charge du traitement des données sur notre data Warehouse / notre CRM (ZOHO CRM) et notamment de la surveillance et la propreté des bases ainsi que du déploiement de processus industriels de traitement de données.– En support de notre équipe sourcing, vous utiliserez MySQL quotidiennement afin d’extraire des fournisseurs pertinents en fonction des demandes acheteurs grâce à des recherches avancées en BDD ;– Vous exportez, importez et analysez des données pour mieux piloter l’activité et alimenter les commerciaux avec de nouvelles opportunités.De plus, vous travaillerez sur deux algorithmes de matching :– Un à destination des acheteurs pour leur proposer des fournisseurs pertinents (analyse des catégories, des bases de fournisseurs existants, des sélections fournisseurs, des notes attribuées, etc.)– L’autre pour les fournisseurs afin de les guider dans leur export : l’idée est de leur proposer des clients potentiels en fonction de leurs caractéristiques !– Vous êtes étudiant.e en bac+4/5 en Cycle Ingénieur ou équivalent, et avez une première expérience en Data.– Vous avez une maîtrise avancée d’Excel (fonctions de tri, rechercheV, fuzzy matching) ainsi que de SQL.– Vous êtes reconnu.e pour votre rigueur, votre organisation et votre appétence pour la recherche et l’analyse.– Vous parlez couramment Anglais.INFOS PRATIQUES SUR L\'OFFRE- Lieu : Paris 8- Démarrage : Janvier/Février- Durée : 6 mois- Gratification : 1 000€ brut mensuels + Participation aux frais de transports en commun à hauteur de 50%Avec Jobmania, trouve ton stage, et gagne 150€ en parrainant tes amis !Recommande une offre de stage, on te verse une prime de 150 € si ton.ta filleul.e est recruté.e. Retrouve toutes les infos sur le site de Jobmania, rubrique ""Parrainage"".Our job : connecting buyers with matching suppliers.Nous mettons en relation 7 000 fournisseurs et 4 500 acheteurs (Amazon, Walmart, Carrefour, Casino, Tesco, Metro…) à travers le monde. Nous connectons les acteurs majeurs de l\'industrie FMCG quelque soit le secteur : food, drinks, wine&spirits, grocery, beauty and personal care, home care...Notre objectif est de faire se rencontrer les bons business partners, au bon moment. Comment ? En alliant les technologies ultra-innovantes, basées sur la data, et l\'expertise humaine.Nous sommes aujourd\'hui une équipe de 50 personnes, et travaillons pour le monde entier. Notre team est composée de nationalités très différentes : si vous voulez évoluer dans un environnement multi-culturel, où l\'atmosphère est très proche d\'une start-up, come join us !']"
70,Stage Data Analyst H/F - Paris - Janvier 2021,Jobmania,Full-time,Entry level,"['– Vous serez en charge du traitement des données sur notre data Warehouse / notre CRM (ZOHO CRM) et notamment de la surveillance et la propreté des bases ainsi que du déploiement de processus industriels de traitement de données.– En support de notre équipe sourcing, vous utiliserez MySQL quotidiennement afin d’extraire des fournisseurs pertinents en fonction des demandes acheteurs grâce à des recherches avancées en BDD ;– Vous exportez, importez et analysez des données pour mieux piloter l’activité et alimenter les commerciaux avec de nouvelles opportunités.De plus, vous travaillerez sur deux algorithmes de matching :– Un à destination des acheteurs pour leur proposer des fournisseurs pertinents (analyse des catégories, des bases de fournisseurs existants, des sélections fournisseurs, des notes attribuées, etc.)– L’autre pour les fournisseurs afin de les guider dans leur export : l’idée est de leur proposer des clients potentiels en fonction de leurs caractéristiques !– Vous êtes étudiant.e en bac+4/5 en Cycle Ingénieur ou équivalent, et avez une première expérience en Data.– Vous avez une maîtrise avancée d’Excel (fonctions de tri, rechercheV, fuzzy matching) ainsi que de SQL.– Vous êtes reconnu.e pour votre rigueur, votre organisation et votre appétence pour la recherche et l’analyse.– Vous parlez couramment Anglais.INFOS PRATIQUES SUR L\'OFFRE- Lieu : Paris 8- Démarrage : Janvier/Février- Durée : 6 mois- Gratification : 1 000€ brut mensuels + Participation aux frais de transports en commun à hauteur de 50%Avec Jobmania, trouve ton stage, et gagne 150€ en parrainant tes amis !Recommande une offre de stage, on te verse une prime de 150 € si ton.ta filleul.e est recruté.e. Retrouve toutes les infos sur le site de Jobmania, rubrique ""Parrainage"".Our job : connecting buyers with matching suppliers.Nous mettons en relation 7 000 fournisseurs et 4 500 acheteurs (Amazon, Walmart, Carrefour, Casino, Tesco, Metro…) à travers le monde. Nous connectons les acteurs majeurs de l\'industrie FMCG quelque soit le secteur : food, drinks, wine&spirits, grocery, beauty and personal care, home care...Notre objectif est de faire se rencontrer les bons business partners, au bon moment. Comment ? En alliant les technologies ultra-innovantes, basées sur la data, et l\'expertise humaine.Nous sommes aujourd\'hui une équipe de 50 personnes, et travaillons pour le monde entier. Notre team est composée de nationalités très différentes : si vous voulez évoluer dans un environnement multi-culturel, où l\'atmosphère est très proche d\'une start-up, come join us !']"
