,intitule,entreprise,Type Contrat,Niveau Experience,texte
124,CRM Data Analyst Intern,Vestiaire Collective,Stage,,"You will directly report to the Senior Data Analyst Manager and will be working with the CRM team

You must be able to provide an internship agreement

What you’ll do
How to maximise our usage of data to personalise communications sent to buyers & sellers : channel ? trigger ? content ?
Improve effectiveness of our campaigns
Daily monitor DAU (Daily Active Users), GMV (Gross Merchandise Volume) at a campaign level
Ad hoc analysis for A/B tests, measure incrementality for each channel
Who you are
Business oriented & results driven
Excellent analytic skills with proven experience using Excel & SQL
Knowledge of visualization tools such as Tableau
Autonomy & rigor to analyze data
Ability to generate insights & action plans from data analyses
Ability to work with deadlines
Fluency in English
Enjoy working as a team-player and learning from others.
What we offer
An exciting internship in our Paris office where you will be able to express your creativity and potential
The possibility to work with a dynamic and multidisciplinary team
The opportunity to grow in a young global company
Next step
If you are ready to join our fast-paced company, apply below! Our team will review your application within the following 4 weeks. If your profile and experience fit our requirements, we will invite you for a first phone call.

About Vestiaire Collective
It all comes down to one important question: Why should so many great fashion items remain unworn in people’s wardrobes?
Vestiaire Collective is a global platform that connects millions of buyers and sellers of desirable pre-loved fashion. We are global: our headquarters are in Paris and we have satellite offices in New York City, Tourcoing, Berlin and Hong Kong.
Vestiaire Collective is an equal opportunity employer. We strive to develop an inclusive work environment that reflects the diversity of our fashion activist community."
125,Data Analyst,LiveRamp,,,"LiveRamp is the trusted platform that makes data accessible and meaningful. Our services power people-based customer experiences that improve the relevance of marketing and allow consumers to better connect with the brands and products they love. We thrive on solving the toughest technical and customer challenges, and we're always looking for smart, compassionate people to help us blaze a trail.
The LiveRamp Safe Haven empowers companies to compete with digital monopolies (Amazon, Google) by using modern technology to connect their customer data ecosystems. LiveRamp Safe Haven was recently launched to the public in March, 2020 into private beta. The Safe Haven Analytics product is in the early stages of development, but has tremendous potential and early traction from major retailers and CPG brands. We believe that the sky is the limit on this product.
Five years from now we will be known for creating the category of ""Safe Havens"" that enables controlled access to unique data assets necessary to understand the end-to-end customer journey, close the loop on measurement, and create superior customer experiences.
Mission
As a Data Analyst Senior for Safe Haven Analytics at LiveRamp, you must combine an understanding of the user and their needs with an in-depth comprehension of the technical details required to build successful Analytics products within a complex ecosystem.
You must recognize that the details matter on both sides of the business/technical divide. It is your job to drive the vision by building the business cases, work with Data engineers and Data scientists to get the feature developed.
You will:
Work in pairs with a junior Data Analyst from the company
Create analyses and recommendations to respond to customer needs and questions
Design and Monitor performance through dashboards (Tableau, Power BI)
Analyse & find marketing insights (cross-id analysis, attribution, RFM, CRM segmentations)
About you:
You are graduate of a top engineering school or business school, with Data specialization
You have at least 3+ years of experience in Retail or FMCG or Strategic Consulting
You have a keen interest and knowledge of the Data world, Retail and FMCG issues.
Strong interpersonal skills and proven ability to influence others
You have an excellent command of Excel and a visualization tool (Tableau or Power Bi)
Excellent level of English
Excellent written, presentation, and verbal communication skills and demonstrated ability to work with executives
Ability to build and defend business cases
Type S(tartup) personality: smart, ethical, friendly, hard-working and proactive (no exceptions)"
126,AMOA BI / DATA Analyst / Freelance,UCASE CONSULTING,,,"Les missions confiées sont les suivantes : - Challenger, recueillir et analyser les expressions de besoins - Modéliser et spécifier fonctionnellement la solution - Etudier la faisabilité avec l’équipe Data - Rédiger les spécifications fonctionnelles détaillées - Suivre et recetter les développements réalisés par l’équipe de développement. Niveau d’expérience requis : - 3 à 5 d’expérience en tant qu’analyst fonctionnel autour de problématiques décisionnelles. - Très bonne qualité relationnelle (préparation et conduite d’atelier) et rédactionnelle (bonne maitrise de la rédaction de document fonctionnel) - Maîtrise de la modélisation décisionnelle - Maitrise du langage SQL - Connaissance du domaine Supply Chain - Connaissance outils ETL et reporting apprécié. Démarrage ASAP 50 (site) / 50 (Télétravail) Lieu : 92"
127,Stage HALx Data Analyst H/F,General Electric,Stage,,"Job Description Summary
You will be part of a team that validate certain aspects of the Haliade-x 12MW prototype, which is the world’s largest wind turbine. Following the launch of the Haliade-X, the Service Productivity team requires support to continue in the improvement projects of service offshore maintainability and support on database update for Service cost and availability modelling of GE’s offshore wind turbine.
Job Description
Description du stage :
Vous ferez partie de l'équipe Productivité du Service et collaborerez avec plusieurs fonctions telles que l'ingénierie de conception et de service, les opérations commerciales et les statistiques ainsi que l'équipe des opérations sur le terrain. Vos principaux domaines de travail sont :
Évaluation des performances des différents systèmes de turbines à l'aide de données historiques et identification des points focaux d'amélioration liés à la flotte existante et aux nouvelles plates-formes
Consolider les données de performance et analyser l'impact sur la fiabilité des systèmes. Partager les résultats avec l'équipe du modèle de coût pour identifier les améliorations des hypothèses de coût de service
Compiler les données disponibles sur le temps moyen de réparation pour soutenir la modélisation de disponibilité et coûts de service et identifier les domaines d'amélioration sur la maintenabilité et les méthodes de réparation.
Identifier les domaines d'amélioration de la conception et des opérations après la première boucle.
Participer à la préparation et à l'évaluation des premiers résultats de la maintenance annuelle pour identifier les domaines d'amélioration pour une exécution plus allégée des tâches de maintenance liées à la conception (facilité d'entretien), à l'outillage et à la séquence d'exécution des tâches
Participer aux réunions de modification de conception avec l’équipe ingénierie de turbine sur les systèmes pertinents identifiés sur le projet
Internship description:
You will be part of the Service Productivity team and collaborate with several functions like design and service engineering, commercial operations and statistics as well as the field operations team. Your main areas of work are:
Performance assessment of different turbine systems by use of historical data and identify focal points for improvement related to the existing fleet and new platforms
Consolidate performance data and analyse impact to reliability of systems. Share results with the cost model team to identify improvements for service cost assumptions
Compile available data of Mean Time to Repair to support on the availability and service cost modelling and identify areas of improvement of maintainability and repair methods.
Identify areas if improvement on design and operations based after first loop.
Participate in the preparation and evaluation of the first annual maintenance results to identify improvement areas for leaner execution of maintenance tasks related to design (serviceability), tooling and execution sequence of tasks
Take part in design modification meetings with turbine design on relevant systems identified on the project
Compétences et qualités requises :
Vous recherchez un stage en vue de compléter votre master en ingénierie et vous êtes intéressé par:
L'industrie éolienne et renouvelable et les opérations et maintenance offshore
Travailler en équipe dans un environnement international anglophone
Compréhension de la conception, de l'ingénierie et des exigences du marché des éoliennes pour la maintenance d'une grande éolienne offshore
Diriger de manière proactive des projets de R&D tout en collaborant avec des équipes multidisciplinaires
Internship description:
You are looking for an internship in order to complete your master’s degree in engineering and you are interested in:
The wind and renewables industry and the Operations and maintenance offshore
Working as a team in an English speaking international environment
Understanding wind energy turbine design, engineering and market requirements for the serviceability of a large offshore wind turbine
Proactively leading R&D projects while collaborating with multidisciplinary teams
Additional Information
Relocation Assistance Provided: No"
128,STG - Reinsurance Data analyst Intern - (F/H),AXA,Stage,,"Référence de l’offre
20000A77
Type de contrat
Stage
Niveau d'expérience
Etudiants
Société du groupeGIE AXA
Famille métierActuariat
Localisation
PARIS, Paris

Votre rôle et vos missions
The internship will be based at the AXA Group Risk Management (GRM) department.
The AXA Group Risk Management Department is made of highly qualified risk professionals: actuaries, engineers, and specialists of finance, based in Paris 8e, Zurich, and Madrid.
The department’s mains missions are as follows:
Quantify, aggregate and analyze the risks borne by the AXA Group, in particular via the Economic Capital framework
Define and set up the adequate processes to maintain these risks within acceptable limits (natural catastrophes, assets concentration, longevity …)
Optimize the Group protection (hedging, reinsurance, securitization…)
The GRM Department is a key department within the AXA Group, as it faces the most sophisticated challenges of a leading international insurance company. You will work within the P&C (Property & Casualty) section of this department, in the team dedicated to Group Reinsurance Assessment and to Risk transfer. This team is closely involved in the strategic decisions made by the Top Management as regards to reinsurance and securitization.
Primary mission:
Offering global understanding of AXA’s Reinsurance portfolio and discovering ReMetrica, the interface used by the Group Reinsurance to analyze data.
This internship will be an opportunity for the student to apply and improve their statistical knowledge and their modeling skills.
Through this mission he/she will have the opportunity to find out the challenge within the Risk management in an international environment.
He/she will have the opportunity to improve his/her data analysis skills and to develop his/her awareness of actuarial challenges by creating tools to analyze all Reinsurance Property cash flows to support the top management reinsurance strategy.
The internship will allow student to work on transversal project in connection with different teams in AXA Group.
Votre profil
Starting date: May/June 2021
Technical and professional skills:
Masters student and have an actuarial background (Dauphine, ENSAE, ISFA, ISUP…) or a strong scientific background including a degree in insurance or finance.
You have a strong interest in modelling topics of reinsurance
You have strong programming skills (particularly in R and Python. C# is a plus.)
You have rigorous and you have a strong sense of figure
You are enthusiastic about working in an international environment
Soft Skills:
Good verbal and written communication skills are required in English
Ability to analyze and summarize
You are a good team player and are able to network easily
You are creative and like to bring new ideas
You are reliable and autonomous
You like to be challenged
You are able to deliver on time
Votre environnement de travail
Aimeriez-vous vous lever chaque jour motivé(e) par une mission inspirante et travailler en équipe pour permettre de protéger les personnes et leurs proches?
Chez AXA nous avons l’ambition de mener la transformation de notre métier. Nous cherchons des personnes talentueuses ayant une expérience diversifiée, qui pensent différemment, et qui veulent faire partie de cette transformation passionnante en challengeant le statu quo et faire d’AXA – marque globale leader et une des sociétés les plus innovantes dans notre secteur – une entreprise encore plus performante et responsable.
Dans un monde en perpétuelle évolution et avec une présence dans 64 pays, nos 165 000 salariés et distributeurs privilégiés anticipent le changement pour offrir des services et solutions adaptés aux besoins actuels et futurs de nos 107 millions de clients.

Le siège du Groupe AXA, basé à Paris 8ème, regroupe les activités Corporate du Groupe. Il coordonne avec les différentes entités la stratégie du Groupe, et assure le pilotage des projets internationaux. La particularité du siège réside notamment en la présence d’une forte culture internationale (39 nationalités).
Pourquoi nous rejoindre ?
Nous vous offrons de nombreuses perspectives de carrière dans un environnement international. N’hésitez pas à postuler si vous êtes intéressés !

Les informations fournies par les candidat(e)s seront traitées de manière strictement confidentielle et utilisées uniquement à des fins de recrutement."
129,Data Analyst H/F,CibleR,"Temps plein, Stage",,"Stage – Développeur Ops (H/F)
A propos de CibleR…
Les consommateurs se lassent de l'exagération des prix barrés, des promotions fictives et de la surenchère en magasin et en ligne. Pour recréer ce lien de confiance et d'engagement, les entreprises doivent réduire leur intensité promotionnelle inefficace pour la concentrer là où le client l'attend grâce à la personnalisation et à la prédiction.
C'est le défi que CibleR a décidé de relever… Plus de 10 collaborateurs embarqués depuis 2015 dans le renouveau de l'expérience client grâce à la générosité. Notre credo : moins mais mieux ! Aux usages massifs de la promotion, substituons l'intelligence client.
CibleR est une start-up spécialisée en IA marketing pour recruter, convertir et fidéliser des clients en optimisant le ROI des marques. Nous proposons une plateforme SaaS pour segmenter les visiteurs en temps réel, personnaliser les contenus et maximiser les ventes grâce à des incitations commerciales intelligentes. CibleR est fier de compter parmi ses clients des noms prestigieux tels que Disneyland Paris, Le Petit Ballon, VVF Villages ou encore Carrefour.
A travers notre solution CibleR, nous aidons tous les commerçants français à revoir leur stratégie promotionnelle pour mieux comprendre leurs clients et offrir les bons avantages. Aujourd'hui, et forts du lancement de nos plateformes sauvetoncommerce.fr et tourismebyca.fr, nous nous engageons aux côtés des acteurs du commerce de proximité.
Votre mission
En tant que Data Analyste, vous menez à bien des taches de qualification et de visualisation des données au service des équipes business
Complètement intégré à l'équipe de technique, vous participerez à la mise au point de la stratégie de développement de l'asset Data de l'entreprise.
Mise en œuvre d'outil de visualisation et de suivi des données
Environnement technologique
PostgresSQL, MySQL, Google DataStudio, Tableau Software, Python
Votre profil
Vous avec une formation de 4eme année d'école d'ingénieurs, fin de Master. Passionné(e) par les données et les startup Tech, vous êtes curieux(se) de toutes les nouveautés digitales et vous disposez des compétences et qualités suivantes :
Une envie de participer à un projet de startup
Vous êtes force de proposition sur l'architecte des modules à mettre en place et sur le futur de la plateforme
Une bonne capacité d'analyse de données et de synthèse
Un bon niveau d'exigence et de rigueur dans votre travail
Vous êtes autonome, curieux(se), enthousiaste, rigoureux(se), polyvalent(e) !
Modalités
Durée du stage : 6 mois - Convention de stage obligatoire
Période souhaitée : Au plus tôt
Poste en Bring Your Own Device
Poste essentiellement en télétravail compte tenu du contexte actuel (la situation étant amenée à évoluer, nous pourrons rétablir un rythme avec un/plusieurs jours par semaine dans nos bureaux aux Quinconces à Bordeaux).
Indemnité de stage : à déterminer en fonction du profil
Les avantages du poste :
Basé en plein cœur du centre-ville de Bordeaux, au sein de l'accélérateur de start-up Village by CA
Une équipe jeune et passionnée pour réaliser votre stage dans une ambiance chaleureuse en mode start-up.
Travailler en start-up c'est aussi contribuer à tous les projets structurants pour le futur de l'entreprise. Vous serez amené.e à participer à des sujets clés en fonction de vos compétences et de vos envies !
Durée du contrat : 6 mois
Type d'emploi : Temps plein, Stage
Durée du contrat : 6 mois
Type d'emploi : Temps plein, Stage
Salaire : à partir de 600,00€ par mois
Horaires :
Périodes de Travail de 8 Heures
Expérience:
data analyst h/f ou similaire: 1 an (Souhaité)
Télétravail:
Oui"
130,Alternant(e) Data Analyst People Analytics & Data(H/F),TechnipFMC,"Apprentissage, Contrat pro",,"Localisation : Paris la Défense
Début : Septembre 2020
Durée : 12 mois
TechnipFMC se classe parmi les tous premiers groupes mondiaux dans les projets, les technologies, les systèmes et les services pétroliers et gaziers, offrant une gamme complète de services dans les domaines des hydrocarbures et de la pétrochimie. Nous sommes aujourd’hui un groupe international présent sur les cinq continents et cotée au CAC 40.
Chez TechnipFMC, le contrat d’alternance est une période d’apprentissage mutuelle grandeur nature. Nous nous impliquons pleinement dans notre rôle de formateur et cherchons à enrichir d’expériences variées les études de nos alternants afin de les préparer à leur future vie professionnelle.
Dans ce cadre, nous vous proposons de rejoindre nos équipes du service People Analytics & Data pour une période d’alternance de 12 mois.
Votre mission se déroulera dans nos bureaux situés à La Défense, Paris Headquarter.
Descriptif détaillé de la mission :

Au sein de notre service People Analytics & Data, l’alternant aura en charge :
Maîtrise de plusieurs langages de programmation (Python, SQL, MYSQL, R, …) et des outils de DataViz
Capable de construire de manière autonome des algorithmes NLP à usage RH
Modélisation statistique : régression, ACP, ACM, Machine Learning
Connaissances, même théoriques, des systèmes de Base de données et des outils RH

Profil :

Vous êtes dans une école d’ingénieur ou universitaire avec une appétence forte pour la data.
Vous êtes doté(e) d’un fort esprit analytique et d’une excellente compréhension des enjeux et des leviers de People Analytics ainsi que de la RH
Dans un contexte international et à forts enjeux, vous parlez couramment anglais.
Vous assurez un support dans l’analyse, le transfert et la validation des données de rémunération et RH.
Vous avez l'esprit d'équipe : vous souhaitez rejoindre une équipe internationale et collaborer avec les projets innovants dans l’équipe People Analytics.
Vous êtes proactif, vous n'hésitez pas à proposer des axes d’amélioration sur les processus existants.
Rejoignez-nous !

Tous nos postes sont ouverts aux personnes en situation de handicap"
131,Stagiaire Business Data Analyst,KFC,Stage,,"Rattaché à la direction financière, vous travaillerez en étroite collaboration avec l'équipe d'analystes pour les aider dans la production et l’amélioration des analyses de nature financière et commerciale, et au même temps, dans le suivi et l’amélioration des rapports journaliers et hebdomadaires.

Votre rôle dans l'élaboration et la production d'analyses pertinentes est central dans la mesure où ces analyses sont la base des différentes prises de décisions dans la stratégie marketing et /ou des outils pour accompagner l’entreprise dans l’optimisation de son modèle économique.

Traiter, analyser et visualiser la donnée, de façon régulière, afin de générer des informations fiables et faciles à comprendre ;
Automatiser des taches récurrentes pour gagner en productivité ;
Collecter des informations opérationnelles et financières de l’entreprise ;
Produire les rapports et les analyses opérationnelles (rapports de vente, de productivité, tableaux de bord, analyse du P&L, des écarts au budget, etc) ;
Réaliser des analyses ad hoc sur des projets stratégiques.

Etudiant en grande école de commerce ou d'ingénieur, vous aimez la compréhension et la résolution des problèmes de l’entreprise, avec un esprit constant d’amélioration.

Vous êtes doté d'un bon relationnel, d'une bonne communication (orale comme écrite) et d'une très bonne capacité d'analyse et de synthèse.
Rigoureux, vous aimez le travail d'équipe et possédez une bonne maîtrise d’Excel.

À l’aise avec l’apprentissage de nouveaux outils, vous avez des notions ETL, SQL et Power BI.

Vous êtes à l'aise en anglais.

Une première expérience de stage en analyse de données serait appréciée."
132,Consultant Data Analyst (H/F),Mydral,,,"Qui sommes-nous ?
Notre ADN en tant que Data Company réside dans l’utilisation de l’analytique comme levier de transformation de l’entreprise.
Pionniers en Analytics, Big Data et Intelligence Artificielle, notre mission est de démocratiser des solutions innovantes de Data Prep et de Data Viz en les rendant accessibles à tous. Nous aidons les entreprises à valoriser et à comprendre les données qui les entourent.
Nous intervenons sur tout le cycle de valorisation de la donnée : Data Gouvernance, Data Preparation, Data Science, Data Visualisation et Stratégie Business.
Mydral rassemble une communauté d'experts passionnés par les sujets Data prêts à sortir des sentiers battus pour résoudre les problèmes complexes. Le rôle de chaque collaborateur est de comprendre les enjeux et les objectifs des clients de tous secteurs.
La politique d’embauche de Mydral vise à améliorer la représentation des personnes handicapées au sein de ses effectifs.

Les tâches proposées ?
Sous la supervision du Directeur des services, vous intégrez une équipe de pure players de la BI, basée en Île-de-France. Vous participez à toutes les phases de mise en œuvre d’une application décisionnelle de BI agile et êtes amené à :
Analyser l'existant
Recueillir les besoins et estimer les charges
Prendre en charge les spécifications fonctionnelles
Animer des ateliers client
Modéliser des processus métiers / Comportements à partir des données sources
Effectuer des connexions de données
Intégrer la solution
Créer de KPIs et Dashboards prédictifs pour le métier
Créer des applications sous Tableau Software
Rédiger et suivre la stratégie de recette
Réaliser et suivre les développements
Former des utilisateurs

Le profil recherché ?
Passionné de la Data et diplômé d'un BAC+5 en Ecole d’ingénieur (EISTI, Polytech, Télécom Paristech, MIAGE, etc.)
Expérience d’au moins 6 ans (hors stage et alternance) sur Tableau Software avec de fortes compétences en modélisation (Analyse de données, modélisation statistique…) et réalisation d’applications décisionnelles.
Vous avez de bonnes connaissances techniques sur les outils de Data Preparation, de Data Science, de Stockage de la donnée et de Data visualisation, etc.
Vous avez développé un fort sens du service, un bon relationnel avec vos clients et la rigueur nécessaire au succès de vos projets.
Qualités indispensables pour réussir chez Mydral : smart, réactif, autonome, rigoureux, fiable, organisé et SYMPA !
Vous vous reconnaissez dans cette description ? Oui ?! Nous avons une place pour vous !"
133,Data Analyst – Success story reconnue,Konekt,45 000 € - 50 000 € par an - CDI,,"Description de l'emploi
Success story française qui révolutionne la gestion de la paie grâce à un SaaS SIRH qui permet de gérer facilement, rapidement et automatiquement tous les aspects complexes liés à la paie.
Après une levée de fond importante en 2017, cette société est passé de 0 à plus de 100 collaborateurs en un peu plus de deux ans et ambitionne de devenir l'un des leaders sur son segment en Europe.
Vous intégrez une équipe IT de 30 personnes organisée autour de 5 squad qui ont chacune la responsabilité d'une partie de l'application.
MISSIONS
Travailler en étroite collaboration avec les équipes de produits et business afin d'identifier les questions importantes, de définir les indicateurs clés de succès et de façonner des stratégies de produits et de business fondées sur la data.
Élaborer des tableaux de bord convaincants pour mesurer l'impact des nouvelles caractéristiques des produits ou des initiatives commerciales.
Élaborer des hypothèses solides, résoudre des problèmes et partager des idées dans un récit convaincant.
Concevoir, exécuter et analyser des expériences
Communiquer les résultats et influencer les principaux dirigeants de produits et d'entreprises
Analyser de façon proactive les données internes et externes afin de suggérer des améliorations réalisables à nos équipes de développement de produits et d'affaires.
PROFIL RECHERCHE
2+ ans d'expérience dans un rôle hautement analytique
Très habile à écrire SQL pour interroger des bases de données relationnelles
Sens aigu des affaires
Excellentes aptitudes à la communication
Expérience et passion pour développer les bons indicateurs et tableaux de bord/visualisations.
Solides capacités d'analyse et de collecte de données (tests A/B, statistiques…)
Autonome, entreprenant, soucieux du détail
SOUHAITE
Compétences de codage
Expérience avec Chart.io, Tableau, Looker, etc.
Familiarité avec R ou Python
AVANTAGES
2/3 k€ de variable indexé sur la performance de la société
Tickets restaurant
Mutuelle très intéressante
Prise en charge d'une carte Gymlib = tarif avantageux
Esprit très bienveillant – locaux moderne
Télétravail = 1-2 jours possible
PROCESS
1er appel (30 min) = fit / levier de motivations + tech call (30 min)
Entretien physique RH + test = live coding avec débrief avec le CTO où le engineering manager.
2ème entretien physique avec le Tech Lead et le Product Manager
Barbecue test = les candidats en process final sont invités à boire un verre tous les mercredi soir."
134,Stage Data Analyst H/F,FRETLY,"Temps plein, Stage",,"L'ENTREPRISE
Fretly est une jeune entreprise innovante qui a développé une solution digitale B2B pour mesurer la performance des transporteurs. Nos clients sont des entreprises qui expédient du fret. Notre ambition est de prédire la performance transport. Pour en savoir plus, n'hésites pas à parcourir notre site : www.fretly.fr
Efficacité, simplicité, rapidité, ça te parle ? Tant mieux, parce que nous avons un super projet pour toi !
Pour ton intégration tu auras un temps d’échange avec un collaborateur de chacun des métiers. Bien évidemment il ne faut pas oublier les moments conviviaux ! Une sortie trimestrielle est prise en charge par FRETLY organisée à tour de rôle par un collaborateur.
LA MISSION
Notre plateforme récolte de grandes quantités de données que nous exploitons dans un logiciel d'extraction et de restitution de l'information. Ton activité couvrira les domaines suivants : analyse de données et mise en place de prestations clients.
Ton activité couvrira les domaines suivants :
Traitement des données (structuration, consolidation et nettoyage des données de transport collectées) pour préparer leur analyse #ETL #R #Python
Modélisation de grilles tarifaires de transporteurs pour analyser la facturation transport #Excel #ETL
Mise à jour de tableaux de bords et de KPI sur le portail client #Dataviz #BI
Analyse des données pour permettre au métier de décider et d’agir (recherche de causes racines, proposition d’actions correctrices…) #Dataviz #R #Excel
Tu travailles en équipe avec les autres Data Analyst ainsi qu’avec l’équipe des développeurs informatiques.
LE PROFIL RECHERCHE
Tu prépares un diplôme dans le domaine des statistiques, de l'informatique ou de la business intelligence.
Tu as envie d'apprendre en participant au développement d'une jeune entreprise innovante qui veut faire longue route.
Tu es entreprenant, autonome, travailleur et tu disposes d'un esprit start-up.
Es-tu le prochain Data Analyst que nous recherchons ? N'attends plus pour monter à bord !!
Durée du contrat : 6 mois
Type d'emploi : Temps plein, Stage
Salaire : 3,90€ par heure
Avantages :
Participation au Transport
Horaires :
Du Lundi au Vendredi
Expérience:
stage data analyst h/f ou similaire: 1 an (Requis)
Télétravail:
Temporairement en raison du COVID-19"
135,Junior Data Analyst,Voodoo,,,"Voodoo is a Tech company that creates and publishes hyper-casual and casual mobile games for a wide audience. It is the worldwide leader in the mobile game market through snackable, innovative and creative content combining data and new technologies.

The company raised $200M in 2018 and we have been certified a Great Place to Work France 2020. More recently, Tencent has become a minority stakeholder in Voodoo, with a role in framing our strategy to dominate the Asia Pacific region.

#1 worldwide in mobile game downloads, and regularly at the top of the App Store rankings, our games have about 300 million monthly active users and more than 4.4 billion downloads since our creation. Voodoo is one of the most impressive examples of hypergrowth in the ecosystem, having multiplied its turnover by 5 over the past few years.

With more than 300 employees around the world, we would love you to apply to join an ambitious, innovative and international company!

What is Voodoo’s Culture all about?
We recruit passionate and creative profiles, who combine data and new technologies to disrupt the mobile market. Driven by a test-and-learn culture, we welcome wonderfully talented people wishing to undertake and manage unique, ambitious and challenging projects. Our goal is to foster excellence, both individual and communal, which to us means solving problems by breaking the rules, learning fast and autonomously and delivering with the best execution.

Before applying, you need to know that the company’s Culture is very important to us. Our employees evolve within an environment designed to be a centre for fulfillment. Daily life at Voodoo is characterised by numerous events throughout the year that allow you to feel fully integrated into the team and get involved in creative and innovative projects. Among them: onboarding programs, our annual global summit, other company-wide events, hackathons, game jams, wellness events and more.

What will be your main challenges?
We are looking for a Data/Business Analyst who is deeply passionate about data-driven decisions, transforming raw data into clear actionable business insights, and who is constantly driving themselves and the team towards completing the next challenge.

Analyzing large, complex data sets representing the behavior of millions of online and mobile game players to address strategic and operational business questions.
Provide actionable recommendations and conclusions from game data to shape features, game economies and future product roadmaps.
Work closely with internal departments to drive insights that will help produce better games and insights that will drive towards monetization and retention improvements.
Build automated dashboards and reports to facilitate company-wide awareness and understanding of key business metrics and player’s experience.
Manage multiple projects at a time in a fast-paced, results-oriented environment.

By joining this team, you will have a strong impact on the business and a unique opportunity to reach hundreds of millions of users with your insights and recommendations.

What is your team about?
Based on our principles and values, you will have the chance to work with a variety of experts: product managers, monetization managers, data analysts...and still more!

We harness data and creativity through innovation on the Voodoo gaming portfolio. We gain better understanding of our player base in order to keep on offering the best entertainment value out there!
We bring new ideas to life and develop existing concepts to enrich our already diversified gaming portfolio. We make our games even more fun, engaging, long-lasting and entertaining! Pair that with top-of-the-line A/B testing capabilities and you've got yourself a great environment for learning and developing Casual and Hyper Casual games. Join us and be part of a small, international and passionate team!

What do we expect?
At least one year of analytical work experience, preferably for a web or mobile company, or in the online gaming industry
BA/B.Sc in Statistics / Math / Engineering/ Economy or other quantitative field
Strong SQL with experience in querying large, complex data sets and strong Excel skills
High level of analytical and problem-solving skills with strong attention to detail
Ability to turn complex concepts into actionable recommendations
True passion for understanding consumers’ social gaming behavior and tolerance for ambiguity
Experience working with Periscope / Tableau is an advantage
Advanced knowledge in statistical tools and models is an advantage.

What do we offer for this role?
Competitive salary (of course) Bonus Free shares Remote days Lunch card Wellness activities Hackathon Seminars Global Summit

The salary will depend on the experience and skills a candidate brings to the position in line with the levels outlined in the Voodoo Career Path.

We are offering all Voodoo members of staff a flexible vacation policy, allowing us to take as many paid days off as we need as long as the work is done and objectives are complete

What is our recruitment process?
Our recruitment process typically includes a call with our recruitment team, as well as interviews with your future manager and team members focusing on job fit. We will focus on your soft skills through values fit interview that will determine if your values are compatible with ours. Lastly, our test and case studies culture is an integral part of the recruitment process and will feature at some point in your process.

Does this sound like it was written with you in mind? Excellent! Put in your application and let’s discuss the possibilities!"
136,Alternant(e) finance data analyst,Lenovo,"Apprentissage, Contrat pro",,"Position Description:
Lenovo est une société spécialisée dans les technologies à usage personnel, nous développons, fabriquons et commercialisons des services et produits à la pointe de la technologie, reconnus pour leur fiabilité, leur qualité, leur sécurité et leur simplicité d’utilisation. Ses gammes de produits comprennent notamment les fameux PC commerciaux de la marque Think et les ordinateurs grand public de la marque Idea, ainsi que des serveurs, des postes de travail et un éventail de dispositifs Internet mobiles, en particulier des tablettes et smartphones.
Vos missions
Au sein de l'équipe finance, vos missions seront les suivantes :
Produire des rapports financiers hebdomadaires personnalisés par territoire de vente / par équipe ainsi que des rapports historiques
Mesurer les options et les services joints par le client
Créer des modèles Excel normalisés pour assurer le suivi des principales mesures
Suivre l’exécution des actions de profitabilité avec l’équipe pricing, le responsable profit et le contrôleur financier
Dresser et analyser la liste des partenaires channel pour assurer une segmentation appropriée
Fournir régulièrement des analyses de pipeline aux directeurs des ventes
Position Requirements:
Profil
Vous êtes issu(e) d’une formation finance et avez un niveau Bac+2/Bac+5.
Vous êtes autonome, bien organisé(e), capable de travailler en équipe et êtes force de proposition.
Vous avez par ailleurs un goût prononcé pour les Nouvelles Technologies.
Vous avez une maîtrise avancée de Microsoft Excel et aussi une bonne base en anglais.
Pourquoi rejoindre Lenovo
Intégrer Lenovo, c’est rejoindre des équipes très diverses, guidées par l’excellence et dont l’expertise reconnue est dédiée à la satisfaction de nos clients. Votre contribution et votre implication seront deux éléments essentiels de notre succès et c’est grâce à notre collaboration et à celle établie avec vos collègues que nous performerons. Lenovo offre des missions responsabilisantes que vous aurez l'opportunité de faire évoluer par votre engagement, vos compétences et votre sens de l'initiative! Ce poste peut être la première étape d'une belle carrière au sein de nos équipes. En effet, ils/elles sont déjà plusieurs alternant(e)s à avoir été embauché(e)s à l’issue de leurs diplômes.
Nous sommes reconnus pour la diversité de nos profils. Ce poste est ouvert aux personnes en situation de handicap.
Ce que nous avons à vous offrir
Une cantine d’entreprise ou tickets restaurants digitalisés ; congés et jours complémentaires ; remboursement de 50% de votre abonnement de transport en commun ; une mutuelle très compétitive au niveau de son coût et de sa prise en charge ; un comité d’entreprise généreux ; une salle de sport commune avec les autres entreprises du bâtiment à un tarif concurrentiel.
We are an Equal Opportunity Employer and do not discriminate against any employee or applicant for employment because of race, color, sex, age, religion, sexual orientation, gender identity, status as a veteran, and basis of disability or any federal, state, or local protected class."
